--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   d0073
  Local device: mlx5_0
--------------------------------------------------------------------------
Time taken: 0.510685
bin[0] = 17842
bin[1] = 17849
bin[2] = 17775
bin[3] = 17694
bin[4] = 17947
bin[5] = 17898
bin[6] = 17731
bin[7] = 18121
bin[8] = 17961
bin[9] = 17611
bin[10] = 17655
bin[11] = 17759
bin[12] = 17787
bin[13] = 17702
bin[14] = 17671
bin[15] = 17992
bin[16] = 17951
bin[17] = 17817
bin[18] = 17902
bin[19] = 18009
bin[20] = 17853
bin[21] = 17762
bin[22] = 17948
bin[23] = 17973
bin[24] = 17756
bin[25] = 17994
bin[26] = 17831
bin[27] = 17984
bin[28] = 18041
bin[29] = 17921
bin[30] = 17759
bin[31] = 17896
bin[32] = 17814
bin[33] = 17708
bin[34] = 17538
bin[35] = 17974
bin[36] = 18217
bin[37] = 17789
bin[38] = 17993
bin[39] = 17807
bin[40] = 17649
bin[41] = 17713
bin[42] = 18042
bin[43] = 17771
bin[44] = 17751
bin[45] = 17774
bin[46] = 17957
bin[47] = 17748
bin[48] = 17824
bin[49] = 17700
bin[50] = 18046
bin[51] = 17900
bin[52] = 17819
bin[53] = 17988
bin[54] = 17878
bin[55] = 17926
bin[56] = 18065
bin[57] = 18060
bin[58] = 17625
bin[59] = 17997
bin[60] = 18151
bin[61] = 17751
bin[62] = 17821
bin[63] = 17740
bin[64] = 17468
bin[65] = 17886
bin[66] = 17796
bin[67] = 17947
bin[68] = 17717
bin[69] = 17950
bin[70] = 17879
bin[71] = 18057
bin[72] = 17875
bin[73] = 18002
bin[74] = 17972
bin[75] = 17849
bin[76] = 17695
bin[77] = 17939
bin[78] = 17897
bin[79] = 17788
bin[80] = 17655
bin[81] = 17876
bin[82] = 17915
bin[83] = 17885
bin[84] = 17921
bin[85] = 18002
bin[86] = 17864
bin[87] = 17810
bin[88] = 18192
bin[89] = 17788
bin[90] = 17762
bin[91] = 17811
bin[92] = 17902
bin[93] = 17890
bin[94] = 17820
bin[95] = 17991
bin[96] = 17738
bin[97] = 18187
bin[98] = 17843
bin[99] = 17708
bin[100] = 17785
bin[101] = 17739
bin[102] = 18058
bin[103] = 17814
bin[104] = 17797
bin[105] = 17948
bin[106] = 17637
bin[107] = 17845
bin[108] = 17863
bin[109] = 17766
bin[110] = 17741
bin[111] = 17774
[d0073:127012] 111 more processes have sent help message help-mpi-btl-openib.txt / error in device init
[d0073:127012] Set MCA parameter "orte_base_help_aggregate" to 0 to see all help / error messages
